ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
TimeGenerated,1,"System.DateTime",datetime
Timestamp,2,"System.DateTime",datetime
AlertId,3,"System.String",string
Title,4,"System.String",string
Categories,5,"System.String",string
AttackTechniques,6,"System.String",string
ServiceSource,7,"System.String",string
DetectionSource,8,"System.String",string
EntityType,9,"System.String",string
EvidenceRole,10,"System.String",string
EvidenceDirection,11,"System.String",string
FileName,12,"System.String",string
FolderPath,13,"System.String",string
SHA1,14,"System.String",string
SHA256,15,"System.String",string
FileSize,16,"System.Int64",long
ThreatFamily,17,"System.String",string
RemoteIP,18,"System.String",string
RemoteUrl,19,"System.String",string
AccountName,20,"System.String",string
AccountDomain,21,"System.String",string
AccountSid,22,"System.String",string
AccountObjectId,23,"System.String",string
AccountUpn,24,"System.String",string
DeviceId,25,"System.String",string
DeviceName,26,"System.String",string
LocalIP,27,"System.String",string
NetworkMessageId,28,"System.String",string
EmailSubject,29,"System.String",string
ApplicationId,30,"System.Int32",int
Application,31,"System.String",string
OAuthApplicationId,32,"System.String",string
ProcessCommandLine,33,"System.String",string
AdditionalFields,34,"System.Object",dynamic
RegistryKey,35,"System.String",string
RegistryValueName,36,"System.String",string
RegistryValueData,37,"System.String",string
CloudPlatform,38,"System.String",string
CloudResource,39,"System.String",string
Severity,40,"System.String",string
SourceSystem,41,"System.String",string
Type,42,"System.String",string
