ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
AccountId,1,"System.String",string
AccountType,2,"System.String",string
AdditionalFields,3,"System.Object",dynamic
RawEventData,4,"System.Object",dynamic
ReportId,5,"System.String",string
ObjectId,6,"System.String",string
ObjectType,7,"System.String",string
ObjectName,8,"System.String",string
ActivityObjects,9,"System.Object",dynamic
ActivityType,10,"System.String",string
UserAgent,11,"System.String",string
ISP,12,"System.String",string
City,13,"System.String",string
CountryCode,14,"System.String",string
IsAnonymousProxy,15,"System.SByte",bool
IsExternalUser,16,"System.SByte",bool
IsImpersonated,17,"System.SByte",bool
IPAddress,18,"System.String",string
IPCategory,19,"System.String",string
IPTags,20,"System.Object",dynamic
OSPlatform,21,"System.String",string
DeviceType,22,"System.String",string
IsAdminOperation,23,"System.SByte",bool
AccountDisplayName,24,"System.String",string
AccountObjectId,25,"System.String",string
AppInstanceId,26,"System.Int32",int
ApplicationId,27,"System.Int32",int
Application,28,"System.String",string
ActionType,29,"System.String",string
UserAgentTags,30,"System.Object",dynamic
TimeGenerated,31,"System.DateTime",datetime
Timestamp,32,"System.DateTime",datetime
AuditSource,33,"System.String",string
LastSeenForUser,34,"System.Object",dynamic
OAuthAppId,35,"System.String",string
SessionData,36,"System.Object",dynamic
UncommonForUser,37,"System.Object",dynamic
SourceSystem,38,"System.String",string
Type,39,"System.String",string
