ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
ActionType,1,"System.String",string
AdditionalFields,2,"System.Object",dynamic
AppGuardContainerId,3,"System.String",string
DeviceId,4,"System.String",string
DeviceName,5,"System.String",string
FileName,6,"System.String",string
FileOriginIP,7,"System.String",string
FileOriginReferrerUrl,8,"System.String",string
FileOriginUrl,9,"System.String",string
FileSize,10,"System.Int64",long
FolderPath,11,"System.String",string
InitiatingProcessAccountDomain,12,"System.String",string
InitiatingProcessAccountName,13,"System.String",string
InitiatingProcessAccountObjectId,14,"System.String",string
InitiatingProcessAccountSid,15,"System.String",string
InitiatingProcessAccountUpn,16,"System.String",string
InitiatingProcessCommandLine,17,"System.String",string
InitiatingProcessFileName,18,"System.String",string
InitiatingProcessFolderPath,19,"System.String",string
InitiatingProcessId,20,"System.Int64",long
InitiatingProcessIntegrityLevel,21,"System.String",string
InitiatingProcessMD5,22,"System.String",string
InitiatingProcessParentFileName,23,"System.String",string
InitiatingProcessParentId,24,"System.Int64",long
InitiatingProcessSHA1,25,"System.String",string
InitiatingProcessSHA256,26,"System.String",string
InitiatingProcessTokenElevation,27,"System.String",string
IsAzureInfoProtectionApplied,28,"System.SByte",bool
MD5,29,"System.String",string
MachineGroup,30,"System.String",string
PreviousFileName,31,"System.String",string
PreviousFolderPath,32,"System.String",string
ReportId,33,"System.Int64",long
RequestAccountDomain,34,"System.String",string
RequestAccountName,35,"System.String",string
RequestAccountSid,36,"System.String",string
RequestProtocol,37,"System.String",string
RequestSourceIP,38,"System.String",string
RequestSourcePort,39,"System.Int32",int
SHA1,40,"System.String",string
SHA256,41,"System.String",string
SensitivityLabel,42,"System.String",string
SensitivitySubLabel,43,"System.String",string
ShareName,44,"System.String",string
Timestamp,45,"System.DateTime",datetime
TimeGenerated,46,"System.DateTime",datetime
InitiatingProcessParentCreationTime,47,"System.DateTime",datetime
InitiatingProcessCreationTime,48,"System.DateTime",datetime
InitiatingProcessFileSize,49,"System.Int64",long
InitiatingProcessVersionInfoCompanyName,50,"System.String",string
InitiatingProcessVersionInfoFileDescription,51,"System.String",string
InitiatingProcessVersionInfoInternalFileName,52,"System.String",string
InitiatingProcessVersionInfoOriginalFileName,53,"System.String",string
InitiatingProcessVersionInfoProductName,54,"System.String",string
InitiatingProcessVersionInfoProductVersion,55,"System.String",string
InitiatingProcessSessionId,56,"System.Int64",long
IsInitiatingProcessRemoteSession,57,"System.SByte",bool
InitiatingProcessRemoteSessionDeviceName,58,"System.String",string
InitiatingProcessRemoteSessionIP,59,"System.String",string
InitiatingProcessUniqueId,60,"System.String",string
SourceSystem,61,"System.String",string
Type,62,"System.String",string
