ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
AdditionalFields,1,"System.Object",dynamic
ClientVersion,2,"System.String",string
DeviceId,3,"System.String",string
DeviceName,4,"System.String",string
DeviceObjectId,5,"System.String",string
IsAzureADJoined,6,"System.SByte",bool
LoggedOnUsers,7,"System.Object",dynamic
MachineGroup,8,"System.String",string
OSArchitecture,9,"System.String",string
OSBuild,10,"System.Int64",long
OSPlatform,11,"System.String",string
OSVersion,12,"System.String",string
PublicIP,13,"System.String",string
RegistryDeviceTag,14,"System.String",string
ReportId,15,"System.Int64",long
TimeGenerated,16,"System.DateTime",datetime
Timestamp,17,"System.DateTime",datetime
AadDeviceId,18,"System.String",string
DeviceCategory,19,"System.String",string
DeviceSubtype,20,"System.String",string
DeviceType,21,"System.String",string
JoinType,22,"System.String",string
MergedDeviceIds,23,"System.String",string
MergedToDeviceId,24,"System.String",string
Model,25,"System.String",string
OnboardingStatus,26,"System.String",string
OSDistribution,27,"System.String",string
OSVersionInfo,28,"System.String",string
Vendor,29,"System.String",string
SensorHealthState,30,"System.String",string
IsExcluded,31,"System.SByte",bool
ExclusionReason,32,"System.String",string
AssetValue,33,"System.String",string
ExposureLevel,34,"System.String",string
IsInternetFacing,35,"System.SByte",bool
DeviceManualTags,36,"System.String",string
DeviceDynamicTags,37,"System.String",string
AzureResourceId,38,"System.String",string
AwsResourceName,39,"System.String",string
GcpFullResourceName,40,"System.String",string
AzureVmId,41,"System.String",string
AzureVmSubscriptionId,42,"System.String",string
CloudPlatforms,43,"System.String",string
HardwareUuid,44,"System.String",string
HostDeviceId,45,"System.String",string
IsTransient,46,"System.SByte",bool
MitigationStatus,47,"System.String",string
OsBuildRevision,48,"System.String",string
RestrictedDeviceSecurityOperations,49,"System.String",string
SourceSystem,50,"System.String",string
Type,51,"System.String",string
