ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
AccountDomain,1,"System.String",string
AccountName,2,"System.String",string
AccountObjectId,3,"System.String",string
AccountSid,4,"System.String",string
AccountUpn,5,"System.String",string
ActionType,6,"System.String",string
AdditionalFields,7,"System.Object",dynamic
AppGuardContainerId,8,"System.String",string
DeviceId,9,"System.String",string
DeviceName,10,"System.String",string
FileName,11,"System.String",string
FolderPath,12,"System.String",string
FileSize,13,"System.Int64",long
InitiatingProcessAccountDomain,14,"System.String",string
InitiatingProcessAccountName,15,"System.String",string
InitiatingProcessAccountObjectId,16,"System.String",string
InitiatingProcessAccountSid,17,"System.String",string
InitiatingProcessAccountUpn,18,"System.String",string
InitiatingProcessCommandLine,19,"System.String",string
InitiatingProcessFileName,20,"System.String",string
InitiatingProcessFolderPath,21,"System.String",string
InitiatingProcessId,22,"System.Int64",long
InitiatingProcessIntegrityLevel,23,"System.String",string
InitiatingProcessLogonId,24,"System.Int64",long
InitiatingProcessMD5,25,"System.String",string
InitiatingProcessParentFileName,26,"System.String",string
InitiatingProcessParentId,27,"System.Int64",long
InitiatingProcessSHA1,28,"System.String",string
InitiatingProcessSHA256,29,"System.String",string
InitiatingProcessTokenElevation,30,"System.String",string
InitiatingProcessFileSize,31,"System.Int64",long
InitiatingProcessVersionInfoCompanyName,32,"System.String",string
InitiatingProcessVersionInfoProductName,33,"System.String",string
InitiatingProcessVersionInfoProductVersion,34,"System.String",string
InitiatingProcessVersionInfoInternalFileName,35,"System.String",string
InitiatingProcessVersionInfoOriginalFileName,36,"System.String",string
InitiatingProcessVersionInfoFileDescription,37,"System.String",string
LogonId,38,"System.Int64",long
MD5,39,"System.String",string
MachineGroup,40,"System.String",string
ProcessCommandLine,41,"System.String",string
ProcessCreationTime,42,"System.DateTime",datetime
ProcessId,43,"System.Int64",long
ProcessIntegrityLevel,44,"System.String",string
ProcessTokenElevation,45,"System.String",string
ProcessVersionInfoCompanyName,46,"System.String",string
ProcessVersionInfoProductName,47,"System.String",string
ProcessVersionInfoProductVersion,48,"System.String",string
ProcessVersionInfoInternalFileName,49,"System.String",string
ProcessVersionInfoOriginalFileName,50,"System.String",string
ProcessVersionInfoFileDescription,51,"System.String",string
InitiatingProcessSignerType,52,"System.String",string
InitiatingProcessSignatureStatus,53,"System.String",string
ReportId,54,"System.Int64",long
SHA1,55,"System.String",string
SHA256,56,"System.String",string
TimeGenerated,57,"System.DateTime",datetime
Timestamp,58,"System.DateTime",datetime
InitiatingProcessParentCreationTime,59,"System.DateTime",datetime
InitiatingProcessCreationTime,60,"System.DateTime",datetime
CreatedProcessSessionId,61,"System.Int64",long
IsProcessRemoteSession,62,"System.SByte",bool
ProcessRemoteSessionDeviceName,63,"System.String",string
ProcessRemoteSessionIP,64,"System.String",string
InitiatingProcessSessionId,65,"System.Int64",long
IsInitiatingProcessRemoteSession,66,"System.SByte",bool
InitiatingProcessRemoteSessionDeviceName,67,"System.String",string
InitiatingProcessRemoteSessionIP,68,"System.String",string
InitiatingProcessUniqueId,69,"System.String",string
ProcessUniqueId,70,"System.String",string
SourceSystem,71,"System.String",string
Type,72,"System.String",string
