ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
AttachmentCount,1,"System.Int32",int
AuthenticationDetails,2,"System.String",string
AdditionalFields,3,"System.Object",dynamic
ConfidenceLevel,4,"System.String",string
Connectors,5,"System.String",string
DetectionMethods,6,"System.String",string
DeliveryAction,7,"System.String",string
DeliveryLocation,8,"System.String",string
EmailClusterId,9,"System.Int64",long
EmailDirection,10,"System.String",string
EmailLanguage,11,"System.String",string
EmailAction,12,"System.String",string
EmailActionPolicy,13,"System.String",string
EmailActionPolicyGuid,14,"System.String",string
OrgLevelAction,15,"System.String",string
OrgLevelPolicy,16,"System.String",string
InternetMessageId,17,"System.String",string
NetworkMessageId,18,"System.String",string
RecipientEmailAddress,19,"System.String",string
RecipientObjectId,20,"System.String",string
ReportId,21,"System.String",string
SenderDisplayName,22,"System.String",string
SenderFromAddress,23,"System.String",string
SenderFromDomain,24,"System.String",string
SenderObjectId,25,"System.String",string
SenderIPv4,26,"System.String",string
SenderIPv6,27,"System.String",string
SenderMailFromAddress,28,"System.String",string
SenderMailFromDomain,29,"System.String",string
Subject,30,"System.String",string
ThreatTypes,31,"System.String",string
ThreatNames,32,"System.String",string
TimeGenerated,33,"System.DateTime",datetime
LastEventExecutionTime,34,"System.DateTime",datetime
Timestamp,35,"System.DateTime",datetime
UrlCount,36,"System.Int32",int
UserLevelAction,37,"System.String",string
UserLevelPolicy,38,"System.String",string
BulkComplaintLevel,39,"System.Int32",int
LatestDeliveryLocation,40,"System.String",string
LatestDeliveryAction,41,"System.String",string
ExchangeTransportRule,42,"System.String",string
DistributionList,43,"System.String",string
ForwardingInformation,44,"System.String",string
Context,45,"System.String",string
To,46,"System.Object",dynamic
Cc,47,"System.Object",dynamic
ThreatClassification,48,"System.String",string
RecipientDomain,49,"System.String",string
EmailSize,50,"System.Int32",int
IsFirstContact,51,"System.SByte",bool
SourceSystem,52,"System.String",string
Type,53,"System.String",string
