ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
TimeGenerated,1,"System.DateTime",datetime
AccountName,2,"System.String",string
AccountDomain,3,"System.String",string
AccountUPN,4,"System.String",string
AccountSID,5,"System.String",string
AccountObjectId,6,"System.String",string
AccountTenantId,7,"System.String",string
AccountDisplayName,8,"System.String",string
GivenName,9,"System.String",string
Surname,10,"System.String",string
OnPremisesAccountObjectId,11,"System.String",string
OnPremisesExtensionAttributes,12,"System.String",string
OnPremisesDistinguishedName,13,"System.String",string
Tags,14,"System.String",string
AccountCreationTime,15,"System.DateTime",datetime
InvestigationPriority,16,"System.Int32",int
InvestigationPriorityPercentile,17,"System.Int32",int
RiskLevel,18,"System.String",string
RiskLevelDetails,19,"System.String",string
RiskState,20,"System.String",string
BlastRadius,21,"System.String",string
GroupMembership,22,"System.Object",dynamic
AssignedRoles,23,"System.Object",dynamic
Department,24,"System.String",string
EmployeeId,25,"System.String",string
JobTitle,26,"System.String",string
RelatedAccounts,27,"System.Object",dynamic
MailAddress,28,"System.String",string
AdditionalMailAddresses,29,"System.Object",dynamic
Manager,30,"System.String",string
StreetAddress,31,"System.String",string
City,32,"System.String",string
CompanyName,33,"System.String",string
Country,34,"System.String",string
State,35,"System.String",string
Phone,36,"System.String",string
IsAccountEnabled,37,"System.SByte",bool
IsServiceAccount,38,"System.SByte",bool
DeletedDateTime,39,"System.DateTime",datetime
LastSeenDate,40,"System.DateTime",datetime
UACFlags,41,"System.String",string
UserState,42,"System.String",string
UserStateChangedOn,43,"System.DateTime",datetime
UserType,44,"System.String",string
ExtensionProperty,45,"System.Object",dynamic
AccountCloudSID,46,"System.String",string
IsMFARegistered,47,"System.SByte",bool
Applications,48,"System.String",string
ServicePrincipals,49,"System.Object",dynamic
SourceSystem,50,"System.String",string
UserAccountControl,51,"System.Object",dynamic
ChangeSource,52,"System.String",string
EntityRiskScore,53,"System.Object",dynamic
SAMAccountName,54,"System.String",string
Type,55,"System.String",string
