ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
TimeGenerated,2,"System.DateTime",datetime
ResourceId,3,"System.String",string
OperationName,4,"System.String",string
OperationVersion,5,"System.String",string
Category,6,"System.String",string
ResultType,7,"System.String",string
ResultSignature,8,"System.String",string
ResultDescription,9,"System.String",string
DurationMs,10,"System.Int64",long
CorrelationId,11,"System.String",string
Resource,12,"System.String",string
ResourceGroup,13,"System.String",string
ResourceProvider,14,"System.String",string
Identity,15,"System.String",string
Level,16,"System.String",string
Location,17,"System.String",string
AlternateSignInName,18,"System.String",string
AppDisplayName,19,"System.String",string
AppId,20,"System.String",string
AuthenticationContextClassReferences,21,"System.String",string
AuthenticationDetails,22,"System.String",string
AppliedEventListeners,23,"System.Object",dynamic
AuthenticationMethodsUsed,24,"System.String",string
AuthenticationProcessingDetails,25,"System.String",string
AuthenticationRequirement,26,"System.String",string
AuthenticationRequirementPolicies,27,"System.String",string
ClientAppUsed,28,"System.String",string
ConditionalAccessPolicies,29,"System.Object",dynamic
ConditionalAccessStatus,30,"System.String",string
CreatedDateTime,31,"System.DateTime",datetime
DeviceDetail,32,"System.Object",dynamic
IsInteractive,33,"System.SByte",bool
Id,34,"System.String",string
IPAddress,35,"System.String",string
IsRisky,36,"System.SByte",bool
LocationDetails,37,"System.Object",dynamic
MfaDetail,38,"System.Object",dynamic
NetworkLocationDetails,39,"System.String",string
OriginalRequestId,40,"System.String",string
ProcessingTimeInMilliseconds,41,"System.String",string
RiskDetail,42,"System.String",string
RiskEventTypes,43,"System.String",string
"RiskEventTypes_V2",44,"System.String",string
RiskLevelAggregated,45,"System.String",string
RiskLevelDuringSignIn,46,"System.String",string
RiskState,47,"System.String",string
ResourceDisplayName,48,"System.String",string
ResourceIdentity,49,"System.String",string
ResourceServicePrincipalId,50,"System.String",string
ServicePrincipalId,51,"System.String",string
ServicePrincipalName,52,"System.String",string
Status,53,"System.Object",dynamic
TokenIssuerName,54,"System.String",string
TokenIssuerType,55,"System.String",string
UserAgent,56,"System.String",string
UserDisplayName,57,"System.String",string
UserId,58,"System.String",string
UserPrincipalName,59,"System.String",string
AADTenantId,60,"System.String",string
UserType,61,"System.String",string
FlaggedForReview,62,"System.SByte",bool
IPAddressFromResourceProvider,63,"System.String",string
SignInIdentifier,64,"System.String",string
SignInIdentifierType,65,"System.String",string
ResourceTenantId,66,"System.String",string
HomeTenantId,67,"System.String",string
UniqueTokenIdentifier,68,"System.String",string
SessionId,69,"System.String",string
SessionLifetimePolicies,70,"System.String",string
AutonomousSystemNumber,71,"System.String",string
AuthenticationProtocol,72,"System.String",string
CrossTenantAccessType,73,"System.String",string
AuthenticationAppDeviceDetails,74,"System.String",string
AuthenticationAppPolicyEvaluationDetails,75,"System.String",string
ClientCredentialType,76,"System.String",string
FederatedCredentialId,77,"System.String",string
GlobalSecureAccessIpAddress,78,"System.String",string
HomeTenantName,79,"System.String",string
IncomingTokenType,80,"System.String",string
IsTenantRestricted,81,"System.SByte",bool
IsThroughGlobalSecureAccess,82,"System.SByte",bool
OriginalTransferMethod,83,"System.String",string
TokenProtectionStatusDetails,84,"System.Object",dynamic
AppOwnerTenantId,85,"System.String",string
ResourceOwnerTenantId,86,"System.String",string
Agent,87,"System.Object",dynamic
SourceAppClientId,88,"System.String",string
ConditionalAccessAudiences,89,"System.String",string
AuthenticatorAppLocation,90,"System.String",string
AppliedConditionalAccessPolicies,91,"System.String",string
RiskLevel,92,"System.String",string
Type,93,"System.String",string
